,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated_x,quote,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated_y
20,1975,Chainlink,LINK,chainlink,846,2017-09-20T00:00:00.000Z,1000000000.0,491599970.4527867,1000000000.0,21,,,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 6.164553824198938, 'volume_24h': 321005588.8762741, 'volume_change_24h': -17.4983, 'percent_change_1h': -0.68783275, 'percent_change_24h': -3.25261203, 'percent_change_7d': -5.13165933, 'percent_change_30d': -14.58137419, 'percent_change_60d': -22.63548131, 'percent_change_90d': -23.23786466, 'market_cap': 3030494477.830811, 'market_cap_dominance': 0.3664, 'fully_diluted_market_cap': 6164553824.2, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",6.164553824198938,321005588.8762741,-17.4983,-0.68783275,-3.25261203,-5.13165933,-14.58137419,-22.63548131,-23.23786466,3030494477.830811,0.3664,6164553824.2,,2022-11-16T19:23:00.000Z
21,3794,Cosmos,ATOM,cosmos,362,2019-03-14T00:00:00.000Z,,286370297.0,0.0,22,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 10.08433740697235, 'volume_24h': 133486111.78991663, 'volume_change_24h': -16.8366, 'percent_change_1h': -0.66847594, 'percent_change_24h': -4.62736407, 'percent_change_7d': -4.62354789, 'percent_change_30d': -18.01956967, 'percent_change_60d': -39.0309991, 'percent_change_90d': -15.70783044, 'market_cap': 2887854698.2828817, 'market_cap_dominance': 0.3491, 'fully_diluted_market_cap': 0, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",10.08433740697235,133486111.78991663,-16.8366,-0.66847594,-4.62736407,-4.62354789,-18.01956967,-39.0309991,-15.70783044,2887854698.2828817,0.3491,0.0,,2022-11-16T19:24:00.000Z
22,1321,Ethereum Classic,ETC,ethereum-classic,355,2016-07-24T00:00:00.000Z,210700000.0,137927920.5492964,210700000.0,23,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 19.920078909130517, 'volume_24h': 234372813.78294083, 'volume_change_24h': -0.6271, 'percent_change_1h': -0.35197663, 'percent_change_24h': -2.41816675, 'percent_change_7d': -3.23821328, 'percent_change_30d': -15.96058602, 'percent_change_60d': -41.95315535, 'percent_change_90d': -50.88018978, 'market_cap': 2747535061.114269, 'market_cap_dominance': 0.3323, 'fully_diluted_market_cap': 4197160626.15, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",19.920078909130517,234372813.78294083,-0.6271,-0.35197663,-2.41816675,-3.23821328,-15.96058602,-41.95315535,-50.88018978,2747535061.114269,0.3323,4197160626.15,,2022-11-16T19:24:00.000Z
23,328,Monero,XMR,monero,197,2014-05-21T00:00:00.000Z,,18201522.5634879,18201522.5634879,24,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 129.9563517790612, 'volume_24h': 61538615.22968885, 'volume_change_24h': -10.4679, 'percent_change_1h': 0.32636809, 'percent_change_24h': 0.94778377, 'percent_change_7d': 2.34062174, 'percent_change_30d': -9.63359508, 'percent_change_60d': -13.26534928, 'percent_change_90d': -20.30089962, 'market_cap': 2365403469.1751533, 'market_cap_dominance': 0.286, 'fully_diluted_market_cap': 2365403469.18, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",129.9563517790612,61538615.22968885,-10.4679,0.32636809,0.94778377,2.34062174,-9.63359508,-13.26534928,-20.30089962,2365403469.1751533,0.286,2365403469.18,,2022-11-16T19:24:00.000Z
24,512,Stellar,XLM,stellar,467,2014-08-05T00:00:00.000Z,50001806812.0,25677622115.347553,50001787542.62751,25,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 0.08910325854974167, 'volume_24h': 67376807.33415109, 'volume_change_24h': -34.0393, 'percent_change_1h': -0.58571284, 'percent_change_24h': -3.36422119, 'percent_change_7d': -0.10617086, 'percent_change_30d': -21.61743078, 'percent_change_60d': -20.87423148, 'percent_change_90d': -26.22162009, 'market_cap': 2287959802.286378, 'market_cap_dominance': 0.2766, 'fully_diluted_market_cap': 4455323920.32, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",0.08910325854974167,67376807.33415109,-34.0393,-0.58571284,-3.36422119,-0.10617086,-21.61743078,-20.87423148,-26.22162009,2287959802.286378,0.2766,4455323920.32,,2022-11-16T19:24:00.000Z
25,11419,Toncoin,TON,toncoin,60,2021-08-26T13:40:22.000Z,5000000000.0,1221401181.0,5047558528.0,26,4983944249.497838,8772775326.905533,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 1.7602073554072042, 'volume_24h': 7114548.74310268, 'volume_change_24h': -10.1767, 'percent_change_1h': -1.07187057, 'percent_change_24h': 5.93929463, 'percent_change_7d': 17.23341421, 'percent_change_30d': 40.52143523, 'percent_change_60d': 7.57962998, 'percent_change_90d': 40.37828418, 'market_cap': 2149919342.699246, 'market_cap_dominance': 0.26, 'fully_diluted_market_cap': 8801036777.04, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",1.7602073554072042,7114548.74310268,-10.1767,-1.07187057,5.93929463,17.23341421,40.52143523,7.57962998,40.37828418,2149919342.699246,0.26,8801036777.04,,2022-11-16T19:24:00.000Z
26,1831,Bitcoin Cash,BCH,bitcoin-cash,651,2017-07-23T00:00:00.000Z,21000000.0,19230837.5,19230837.5,27,,,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 104.41148397025931, 'volume_24h': 232550091.95826113, 'volume_change_24h': 3.0163, 'percent_change_1h': -0.7903991, 'percent_change_24h': 0.68178188, 'percent_change_7d': 6.83119083, 'percent_change_30d': -4.98207851, 'percent_change_60d': -14.42399898, 'percent_change_90d': -21.35379106, 'market_cap': 2007920281.3659117, 'market_cap_dominance': 0.2428, 'fully_diluted_market_cap': 2192641163.38, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",104.41148397025931,232550091.95826113,3.0163,-0.7903991,0.68178188,6.83119083,-4.98207851,-14.42399898,-21.35379106,2007920281.3659117,0.2428,2192641163.38,,2022-11-16T19:23:00.000Z
27,4030,Algorand,ALGO,algorand,269,2019-06-20T00:00:00.000Z,10000000000.0,7105249422.667278,7327470844.825461,28,,,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 0.26865810031866183, 'volume_24h': 225048139.53843454, 'volume_change_24h': 20.3368, 'percent_change_1h': -1.00552259, 'percent_change_24h': -1.95963092, 'percent_change_7d': -9.36083509, 'percent_change_30d': -18.44374159, 'percent_change_60d': -12.59847713, 'percent_change_90d': -21.90051738, 'market_cap': 1908882812.1840596, 'market_cap_dominance': 0.2308, 'fully_diluted_market_cap': 2686581003.19, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",0.26865810031866183,225048139.53843454,20.3368,-1.00552259,-1.95963092,-9.36083509,-18.44374159,-12.59847713,-21.90051738,1908882812.1840596,0.2308,2686581003.19,,2022-11-16T19:23:00.000Z
28,3635,Cronos,CRO,cronos,172,2018-12-14T00:00:00.000Z,30263013692.0,25263013692.0,30263013692.0,29,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 0.06858389134964867, 'volume_24h': 51853418.7610143, 'volume_change_24h': -49.6939, 'percent_change_1h': -0.46646662, 'percent_change_24h': -5.58974545, 'percent_change_7d': -25.00263632, 'percent_change_30d': -37.30260362, 'percent_change_60d': -37.4065962, 'percent_change_90d': -52.2327897, 'market_cap': 1732635786.2168145, 'market_cap_dominance': 0.2095, 'fully_diluted_market_cap': 2075555242.97, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",0.06858389134964867,51853418.7610143,-49.6939,-0.46646662,-5.58974545,-25.00263632,-37.30260362,-37.4065962,-52.2327897,1732635786.2168145,0.2095,2075555242.97,,2022-11-16T19:24:00.000Z
29,6535,NEAR Protocol,NEAR,near-protocol,198,2020-08-11T00:00:00.000Z,1000000000.0,827370975.0,1000000000.0,30,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 1.919349726382691, 'volume_24h': 84753093.08144943, 'volume_change_24h': -18.4367, 'percent_change_1h': -0.46801892, 'percent_change_24h': -3.15129899, 'percent_change_7d': -11.79113981, 'percent_change_30d': -36.40756498, 'percent_change_60d': -55.49473822, 'percent_change_90d': -62.41517254, 'market_cap': 1588014254.4832304, 'market_cap_dominance': 0.192, 'fully_diluted_market_cap': 1919349726.38, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",1.919349726382691,84753093.08144943,-18.4367,-0.46801892,-3.15129899,-11.79113981,-36.40756498,-55.49473822,-62.41517254,1588014254.4832304,0.192,1919349726.38,,2022-11-16T19:24:00.000Z
